id,autodel_analysis_age_limit,autodel_analysis_limit,autodel_overwrite_global,created,description_xml,last_analysis_id,name_xml,next_sequence_id,parent_id,path_xml
353,"","",False,2018-11-21 11:38:56.277038+09:00,"",1505,MMT_VPU_D6_ARM64,6,1,/MMT_VPU_D6_ARM64
354,"","",False,2018-11-21 12:28:05.024397+09:00,"",1514,MMT_VP9_D9_ARM32,8,1,/MMT_VP9_D9_ARM32
355,"","",False,2018-11-21 14:09:31.978235+09:00,"",1520,MMT_VPU_C2_ARM32,8,1,/MMT_VPU_C2_ARM32
356,"","",False,2018-11-21 17:08:55.730258+09:00,"",1531,MMT_JPU_C5_ARM32,12,1,/MMT_JPU_C5_ARM32
357,"","",False,2018-11-21 20:30:20.834007+09:00,"",1539,MMT_VPU_C5_ARM32,9,1,/MMT_VPU_C5_ARM32
358,"","",False,2018-11-26 11:37:54.256746+09:00,"",1779,tcradio_app_v2p0_peri,9,1,/tcradio_app_v2p0_peri
359,"","",False,2018-11-26 11:40:32.159923+09:00,"",1781,tcradio_app_v2p0_tunerdrv,4,1,/tcradio_app_v2p0_tunerdrv
360,"","",False,2018-11-26 11:41:03.181694+09:00,"",1782,tcradio_app_v2p0_hal,3,1,/tcradio_app_v2p0_hal
361,"","",False,2018-11-26 11:42:06.894261+09:00,"",1784,tcradio_app_v2p0_mw,8,1,/tcradio_app_v2p0_mw
362,"","",False,2018-11-26 11:42:30.305069+09:00,"",1785,tcradio_app_v2p0_app,3,1,/tcradio_app_v2p0_app
365,"","",False,2018-12-10 20:35:33.472460+09:00,"",1558,MMT_JPU_C6_ARM32_1,3,1,/MMT_JPU_C6_ARM32_1
366,"","",False,2018-12-13 14:05:09.453354+09:00,"",1562,MMT_JPU_C6_ARM32_2,5,1,/MMT_JPU_C6_ARM32_2
367,"","",False,2018-12-13 14:45:54.621703+09:00,"",1563,MMT_JPU_C6_ARM64_1,2,1,/MMT_JPU_C6_ARM64_1
371,"","",False,2018-12-26 19:39:53.669289+09:00,"",1583,gst-omx,6,1,/gst-omx
372,"","",False,2018-12-27 12:06:07.325307+09:00,"",1582,gst-good,3,1,/gst-good
374,"","",False,2019-01-14 10:35:19.557667+09:00,"",1736,TCC803x_MICOM_20190114,25,1,/TCC803x_MICOM_20190114
375,"","",False,2019-01-15 11:35:59.158615+09:00,"",1596,TCC8996x_HwDemux,2,3,/SecurityTeam/TCC8996x_HwDemux
382,"","",False,2019-01-22 15:47:09.248481+09:00,"",1627,jpu_encoder_analysis,2,1,/jpu_encoder_analysis
390,"","",False,2019-02-13 15:14:41.428750+09:00,"",1641,hdcp2_wfd_ca,3,3,/SecurityTeam/hdcp2_wfd_ca
391,"","",False,2019-02-19 15:07:06.871491+09:00,"",1651,TCC803x_BSP_kernel_mj,2,1,/TCC803x_BSP_kernel_mj
395,"","",False,2019-02-25 12:11:02.791313+09:00,"",1669,Heron_BT_YS,4,1,/Heron_BT_YS
397,"","",False,2019-02-27 10:37:04.619736+09:00,"",1986,RTOS_190227,3,1,/RTOS_190227
400,"","",False,2019-03-01 16:29:38.145320+09:00,"",1675,isdbt_dolp_0301,2,3,/SecurityTeam/isdbt_dolp_0301
401,"","",False,2019-03-01 18:23:17.542239+09:00,"",1676,trmp_dolp_0301,2,3,/SecurityTeam/trmp_dolp_0301
403,"","",False,2019-03-14 17:51:18.286436+09:00,"",1684,CLStccgstTest,8,1,/CLStccgstTest
409,"","",False,2019-03-22 18:47:51.206074+09:00,"",1691,hwdmx-tcc803x,2,3,/SecurityTeam/hwdmx-tcc803x
411,"","",False,2019-03-26 10:31:10.751190+09:00,"",1697,tcc8990_nsk,5,3,/SecurityTeam/tcc8990_nsk
414,"","",False,2019-03-27 11:46:32.242524+09:00,"",1719,hwdmx-tcc899x,16,3,/SecurityTeam/hwdmx-tcc899x
416,"","",False,2019-04-03 16:05:51.939651+09:00,"",1729,tgif0403_2,7,1,/tgif0403_2
